"2012-06-29", "02:25:00", 12, 32.7621444516, -117.017364035
"2008-05-12", "17:30:00", 01, 32.9530912824, -117.226863557
"2012-01-20", "22:28:00", 09, 32.7276796083, -117.226576586
"2011-12-19", "11:50:00", 09, 32.7971684212, -117.252751595
"2012-10-20", "22:25:00", 09, 32.7840294797, -117.253449289
"2008-04-29", "06:33:00", 06, 33.1208339822, -117.075257339
"2008-08-26", "21:30:00", 07, 32.8002003543, -116.950505552
"2010-07-26", "07:40:00", 09, 32.7826044761, -117.25200499
"2012-05-20", "15:00:00", 00, 32.5815075921, -117.113066373
"2008-05-29", "00:16:00", 10, 32.715720216, -117.156064503
"2009-09-02", "00:01:00", 01, 32.8323029616, -117.175661567
"2008-08-23", "14:30:00", 06, 32.751983495, -117.184055006
"2009-06-11", "21:26:00", 09, 33.19507792, -117.380917726
"2008-05-26", "08:00:00", 05, 33.1386142735, -117.072571232
"2008-09-29", "12:00:00", 01, 32.9900806401, -117.270170835
"2008-12-31", "13:00:00", 05, 32.9449869069, -117.156604494
"2009-01-14", "16:00:00", 03, 32.9886300884, -117.257646746
"2012-01-07", "19:19:00", 09, 32.5765183113, -117.104507969
"2008-03-10", "08:00:00", 02, 32.5812990283, -117.075126884
"2011-05-06", "15:39:00", 03, 32.7949283728, -116.955644151
"2008-11-20", "18:15:00", 08, 32.7575899628, -117.088979081
"2008-06-10", "10:00:00", 02, 32.7882105323, -117.093888051
"2008-08-20", "16:15:00", 09, 32.8346450154, -116.755928247
"2012-04-06", "23:16:00", 09, 32.7445686437, -117.254730454
"2010-01-03", "01:00:00", 07, 32.6764721634, -117.104584503
"2011-05-15", "08:00:00", 00, 33.1344961258, -117.101214872
"2010-01-06", "12:00:00", 06, 32.7146136749, -116.980076466
"2009-01-01", "00:35:00", 03, 33.2094164079, -117.240428651
"2010-03-12", "08:00:00", 01, 33.1886635861, -117.373130331
"2012-12-10", "08:00:00", 04, 33.2552155696, -116.957643645
"2009-10-31", "01:33:00", 01, 32.831398313, -116.98317328
"2009-06-01", "07:00:00", 00, 32.5941245009, -117.047138578
"2011-10-26", "08:40:00", 06, 33.1784979109, -117.326685802
"2009-01-06", "16:30:00", 09, 32.7496602682, -117.106618132
"2011-03-24", "10:25:00", 06, 33.1140303252, -117.215755659
"2012-12-21", "22:00:00", 09, 33.2026630559, -117.388910293
"2009-02-20", "20:00:00", 09, 33.364608422, -117.094817957
"2012-09-10", "14:00:00", 01, 32.765279845, -117.188165645
"2010-04-27", "20:30:00", 09, 32.748462002, -117.15436355
"2012-03-12", "08:00:00", 01, 32.8659659129, -116.934037907
"2010-04-18", "13:30:00", 01, 33.1498484525, -117.333465688
"2010-06-05", "23:00:00", 03, 32.7900197653, -117.237887287
"2009-04-02", "13:14:00", 01, 32.7402105879, -117.226669404
"2008-09-24", "13:00:00", 01, 32.7954346696, -117.233375888
"2012-03-17", "23:20:00", 10, 32.7523796458, -117.110606203
"2011-10-08", "20:30:00", 07, 32.7209200377, -117.16430829
"2008-11-27", "02:50:00", 10, 32.7898098769, -117.096739193
"2008-08-26", "09:50:00", 09, 32.7054766578, -117.158343899
"2009-05-01", "22:42:00", 09, 32.8234357638, -116.933485366
"2011-05-23", "21:00:00", 00, 33.1275246788, -117.064497172
"2009-12-11", "20:50:00", 08, 33.185630091, -117.253318724
"2010-06-13", "16:00:00", 03, 32.8080415069, -117.115335173
"2010-02-27", "08:00:00", 00, 32.6468666916, -116.977626769
"2012-05-09", "20:30:00", 06, 32.6440431756, -116.975083235
"2009-08-24", "07:00:00", 02, 32.7228575296, -117.082425791
"2009-10-21", "13:30:00", 01, 32.6592149521, -117.067051235
"2010-03-16", "00:33:00", 09, 32.6941856296, -117.103482039
"2008-08-03", "13:45:00", 09, 33.1931011423, -117.264037502
"2008-10-16", "19:30:00", 00, 33.2053298164, -117.284093026
"2011-08-26", "10:15:00", 11, 32.7410531006, -117.252099848
"2010-11-22", "15:00:00", 06, 32.7590839983, -117.148482506
"2012-11-19", "09:00:00", 05, 32.9583552115, -117.144707784
"2012-08-16", "22:35:00", 04, 32.7949128558, -117.256176971
"2008-12-10", "22:30:00", 09, 32.695973003, -117.124247224
"2008-01-10", "21:38:00", 06, 32.7818138498, -116.838740412
"2010-09-11", "22:20:00", 07, 32.7032771134, -116.996350689
"2012-06-06", "04:28:00", 09, 32.7157061597, -117.162444895
"2011-12-04", "10:00:00", 06, 32.9157250936, -117.236565021
"2009-01-21", "17:13:00", 09, 32.7555973058, -117.095621603
"2009-09-30", "07:00:00", 06, 32.9015851244, -117.118447073
"2012-03-23", "06:00:00", 00, 32.7931753793, -117.027934912
"2011-04-08", "07:30:00", 04, 32.7538560675, -116.928449383
"2009-05-26", "14:15:00", 01, 33.178079259, -117.296567442
"2008-02-16", "20:00:00", 05, 32.7643861837, -117.01863914
"2010-05-17", "21:30:00", 07, 32.809042251, -116.912972431
"2010-03-18", "09:00:00", 01, 32.7556073567, -117.132647073
"2010-05-06", "03:15:00", 10, 32.7250068559, -117.170264344
"2009-03-15", "13:00:00", 07, 33.0370222725, -117.075140672
